1892   7.57
1893   8.34
1894   8.82
1895   7.91
1896   8.36
1897   8.39
1898   8.93
1899   8.76
1900   8.82
1901   8.31
1902   7.46
1903   8.92
1904   8.70
1905   8.52
1906   9.08
1907   8.28
1908   8.37
1909   7.96
1910   9.43
1911   9.89
1912   8.69
1913   9.51
1914   9.81
1915   8.33
1916   8.77
1917   8.33
1918   9.09
1919   7.81
1920   9.15
1921   9.65
1922   7.65
1923   8.21
1924   8.11
1925   8.99
1926   9.20
1927   8.44
1928   8.62
1929   7.58
1930   9.21
1931   8.68
1932   9.72
1933   9.18
1934  10.64
1935   9.27
1936   8.63
1937   8.71
1938   9.30
1939   8.85
1940   6.79
1941   7.36
1942   7.29
1943   9.18
1944   8.83
1945   9.25
1946   8.59
1947   8.21
1948   9.28
1949   9.35
1950   8.71
1951   8.82
1952   7.84
1953   9.26
1954   7.89
1955   7.83
1956   7.32
1957   8.89
1958   8.29
1959   9.28
1960   8.58
1961   9.06
1962   7.39
1963   7.43
1964   8.19
1965   7.79
1966   8.54
1967   9.41
1968   8.85
1969   8.15
1970   7.95
1971   9.00
1972   8.37
1973   8.80
1974   9.24
1975   9.55
1976   8.81
1977   9.02
1978   8.32
1979   7.74
1980   7.94
1981   8.39
1982   9.18
1983   9.65
1984   8.61
1985   7.90
1986   8.35
1987   7.83
1988   9.63
1989  10.21
1990  10.33
1991   9.02
1992  10.13
1993   8.80
1994  10.01
1995   9.43
1996   7.55
1997   9.35
1998   9.42
1999  10.28
2000  10.29
2001   9.21
2002   9.84
2003   9.53
2004   9.49
2005   9.58
2006  10.27
2007  10.36
2008  10.22
2009   9.78
2010   8.18
